aor,count,average_length_in_program,filename,fiscal_year
Total,86565,869.3302951539306,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
Atlanta,2764,958.3379160636758,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
GPS,718,597.6267409470752,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
SmartLINK,575,675.9530434782608,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
TR,1471,1244.7838205302514,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
Baltimore,2652,721.1104826546003,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
GPS,1643,582.4911746804626,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
SmartLINK,108,740.0925925925926,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
TR,901,971.6115427302997,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
Boston,1494,492.5013386880857,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
GPS,726,381.0137741046832,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
SmartLINK,622,536.016077170418,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
TR,146,861.5,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
Buffalo,436,1294.8876146788991,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
GPS,66,364.4848484848485,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
SmartLINK,10,647.6,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
TR,360,1483.4416666666666,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
Chicago,6545,1006.9234530175706,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
GPS,2186,602.4377859103386,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
SmartLINK,1803,950.2573488630061,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
TR,2556,1392.8290297339593,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
Dallas,977,709.7062436028659,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
GPS,627,546.250398724083,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
SmartLINK,171,822.6783625730994,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
TR,179,1174.3351955307262,20210113002029-FY21-detentionstats.xlsx,ATD FY21 YTD
